"RET-CELLOCHO-107","Cello Chocolate Trinidad","","6.50","0",
"RET-CELLOCHO-104","Cello Chocolate Venezuela","","6.50","0",
"RET-CELLOCHO-109","Cello Hearts","","10.00","0",
"RET-DJWOODCR-105","Cocobolo Corkscrew","","27.50","0.075",
"RET-DJWOODCR-106","Cocobolo Wood Corkscrew and Stopper","","22.50","0.075",
"RET-DJWOODCR-107","Cocobolo Wood Wine Corkscrew & Stopper - ","","22.50","0.075",
"RET-DJWOODCR-108","Cocobolo Wood Wine Stopper (knob)","","25.00","0.075",
"RET-COWGIRLC-105","Cowgirl Creamery - Devil's Gulch","","11.50","0",
"RET-COWGIRLC-104","Cowgirl Creamery - Marin French Truffle Brie","","10.00","0",
"RET-COWGIRLC-100","Cowgirl Creamery - Mt. Tam","","11.50","0.075",
"RET-COWGIRLC-102","Cowgirl Creamery - Pierce Point","","11.00","0.075",
"RET-COWGIRLC-101","Cowgirl Creamery - Red Hawk","","13.50","0",
"RET-COWGIRLC-103","Cowgirl Creamery Chimney Rock","","11.50","0",
"RET-DJWOODCR-111","Curly Maple Corkscrew","","27.50","0.075",
"RET-MARINFRE-101","Cypress Grove - Herbs De Humboldt","","6.00","0",
"RET-CYPRESSG-101","Cypress Grove - Humboldt Fog","","18.00","0",
"RET-CYPRESSG-100","Cypress Grove - Purple Haze","","6.00","0",
"RET-CYPRESSG-102","Cypress Grove Ms.Natural","","6.00","0",
"RET-CYPRESSG-103","Cypress Grove Psyche Dillie","","6.00","0",
"RET-CYPRESSG-104","Cypress Grove Sgt. Pepper","","6.00","0",
"RET-LINDTCHO-100","Dark Chocolate Truffle","","0.50","0",
"RET-YUBAHARV-333","Dark Rye","","6.00","0",
"RET-DOFINO**-100","Dofino Gouda","","4.50","0",
"RET-DJWOODCR-109","Dons Wine Pocket Corkscrew","","27.50","0.075",
"RET-DJWOODCR-112","Dons Wood Pepper Grinder","","60.00","0.075",
"RET-EARTHVI*-101","Earth & Vine - 10 Mustard","","7.00","0",
"RET-EARTHVI*-102","Earth & Vine - 10 oz Jam","","7.00","0",
"RET-YUBAHARV-328","Eggs Dozen","","4.00","0",
"RET-ELLASSOC-105","Elle Socks Etc","","0.00","0.075",
"RET-SIERRANE-107","Euro Unsalted Butter","","6.25","0.075",
"BEE-FIRESTON-101","Firestone DBA","","4.00","0.075",
"BEE-FIRESTON-100","Firestone Velvet Melvin","","4.00","0.075",
"RET-FRAMANI*-100","Framani - Salametto Piccante Chorizo","","14.00","0.075",
"RET-FRAMANI*-101","Framani - Salametto Salami","","14.00","0.075",
"RET-FREJAS**-100","Freja's Foods - Ground Seitan","","6.00","0.075",
"RET-FREJAS**-101","Freja's Foods - Seitan Bites","","6.00","0.075",
"RET-FREJAS**-102","Freja's Foods - Seitan Chops","","6.00","0.075",
"RET-FREJAS**-103","Freja's Foods - Sliced Seitan","","6.00","0.075",
"RET-GEMVIBES-104","Gem Vibes","","0.00","0",
"RET-POMSAW**-109","Gift Set","","15.00","0",
"RET-YUBAHARV-269","Goat Plain Yogurt","","6.00","0",
"RET-NYBAKERY-100","Golden Toast (Cinnamon Raisin)","","5.25","0",
"RET-NYBAKERY-101","Golden Toast (Dark Rye)","","5.25","0",
"RET-NYBAKERY-106","Golden Toast (Multigrain)","","5.25","0",
"RET-NYBAKERY-102","Golden Toast (Sourdough)","","4.75","0",
"RET-GRASSVAL-100","Grass Valley Grains - Corn","","1.75","0",
"RET-GRASSVAL-101","Grass Valley Grains - Wheat","","1.75","0",
"RET-MOUNTAIN-100","Hats","","50.00","0",
"KIT-YUBAHARV-235","Hummus Plate","","4.00","0.075",
"PRO-YUBAHARV-301","Imported Produce","","0.00","0",
"RET-SUTTERBU-121","Jam Meyer Lemon Ginger","","7.00","0",
"RET-SUTTERBU-119","Jam Peach and Bourbon","","7.00","0",
"RET-JOEANNS*-102","Joe-Ann's Jelly - Apricot/G.M.","","7.00","0",
"RET-JOEANNS*-101","Joe-Ann's Jelly - Hot Pepper","","7.00","0",
"RET-JOEANNS*-103","Joe-Ann's Jelly - Onion/Garlic","","7.00","0",
